# timestamp,gip,sentiment,low,high,open,close,volume
1.527321716000000000e+09,4.000008864939466058e+00,6.119000613689999923e-01,1.527341520000000000e+09,7.519689999999999600e+03,7.519699999999999818e+03,7.519699999999999818e+03,7.519689999999999600e+03,1.991999999999999882e-01
1.527321716000000000e+09,4.000000891399229097e+00,6.119000613689999923e-01,1.527341520000000000e+09,7.519689999999999600e+03,7.519699999999999818e+03,7.519699999999999818e+03,7.519689999999999600e+03,1.991999999999999882e-01
1.527595206000000000e+09,4.000008864939466058e+00,2.044363617899999930e-01,1.527615060000000000e+09,7.423439999999999600e+03,7.423449999999999818e+03,7.423449999999999818e+03,7.423439999999999600e+03,8.817308999999999841e-01
1.527595206000000000e+09,4.000000891399229097e+00,2.044363617899999930e-01,1.527615060000000000e+09,7.423439999999999600e+03,7.423449999999999818e+03,7.423449999999999818e+03,7.423439999999999600e+03,8.817308999999999841e-01
1.527867021000000000e+09,4.000008864939466058e+00,5.926264673469999744e-01,1.527886860000000000e+09,7.429520000000000437e+03,7.442020000000000437e+03,7.436600000000000364e+03,7.429529999999999745e+03,6.623008259999999758e+00
1.527867021000000000e+09,4.000000891399229097e+00,5.926264673469999744e-01,1.527886860000000000e+09,7.433819999999999709e+03,7.442020000000000437e+03,7.436600000000000364e+03,7.438949999999999818e+03,1.177852260000000095e+00
1.527933624000000000e+09,4.000008864939466058e+00,6.524174213410000034e-01,1.527953460000000000e+09,7.570829999999999927e+03,7.633000000000000000e+03,7.633000000000000000e+03,7.582380000000000109e+03,1.063315870600001176e+02
1.527933624000000000e+09,4.000000891399229097e+00,6.524174213410000034e-01,1.527953460000000000e+09,7.570829999999999927e+03,7.633000000000000000e+03,7.633000000000000000e+03,7.582380000000000109e+03,1.063315870600001176e+02
1.528148745000000000e+09,1.012722415547453014e+00,-5.611252784730000331e-02,1.528168560000000000e+09,7.415090000000000146e+03,7.415100000000000364e+03,7.415100000000000364e+03,7.415090000000000146e+03,3.277570550000000082e+00
1.528196456000000000e+09,1.012722415547453014e+00,5.729714781050000427e-01,1.528216260000000000e+09,7.549250000000000000e+03,7.553880000000000109e+03,7.549250000000000000e+03,7.553880000000000109e+03,3.330499959000000132e+01
1.528197089000000000e+09,1.012722415547453014e+00,3.195214271550000235e-02,1.528216920000000000e+09,7.550590000000000146e+03,7.554460000000000036e+03,7.554460000000000036e+03,7.550600000000000364e+03,1.616000000000000103e+00
1.528199897000000000e+09,1.000002829462637077e+00,-4.923823773859999919e-01,1.528219740000000000e+09,7.590010000000000218e+03,7.591939999999999600e+03,7.591939999999999600e+03,7.590020000000000437e+03,7.107015680000001723e+00
1.528201841000000000e+09,4.000008864939466058e+00,3.074430227280000039e-01,1.528221660000000000e+09,7.615039999999999964e+03,7.615050000000000182e+03,7.615039999999999964e+03,7.615050000000000182e+03,4.363698409999999583e+00
1.528201841000000000e+09,4.000000891399229097e+00,3.074430227280000039e-01,1.528221660000000000e+09,7.615039999999999964e+03,7.615050000000000182e+03,7.615039999999999964e+03,7.615050000000000182e+03,4.211198409999999726e+00
1.528202559000000000e+09,1.000090332298907647e+00,4.186598062519999996e-01,1.528222380000000000e+09,7.625000000000000000e+03,7.634989999999999782e+03,7.630159999999999854e+03,7.625010000000000218e+03,1.000478244999999866e+01
1.528204484000000000e+09,1.000002829462637077e+00,-8.261900842189999761e-01,1.528224300000000000e+09,7.637750000000000000e+03,7.639000000000000000e+03,7.637750000000000000e+03,7.639000000000000000e+03,7.544347200000000031e-01
1.528208792000000000e+09,1.000002829462637077e+00,-9.290618300440000032e-01,1.528228620000000000e+09,7.619000000000000000e+03,7.619010000000000218e+03,7.619000000000000000e+03,7.619000000000000000e+03,1.015712449999999878e+00
1.528213096000000000e+09,1.000002829462637077e+00,-8.697249740360000203e-01,1.528232940000000000e+09,7.624439999999999600e+03,7.624689999999999600e+03,7.624689999999999600e+03,7.624449999999999818e+03,3.167219010000000612e+00
1.528217706000000000e+09,1.000002829462637077e+00,-6.641942858699999563e-01,1.528237560000000000e+09,7.604060000000000400e+03,7.604069999999999709e+03,7.604060000000000400e+03,7.604069999999999709e+03,3.062722900000000026e-01
1.528222231000000000e+09,1.000002829462637077e+00,-6.097301393749999798e-01,1.528242060000000000e+09,7.603500000000000000e+03,7.603510000000000218e+03,7.603500000000000000e+03,7.603500000000000000e+03,3.859000000000000208e-01
1.528226562000000000e+09,1.000002829462637077e+00,-4.425195753569999835e-01,1.528246380000000000e+09,7.610699999999999818e+03,7.614689999999999600e+03,7.614689999999999600e+03,7.611039999999999964e+03,4.320999999999999286e-01
1.528230980000000000e+09,1.000002829462637077e+00,-1.110303997990000069e-01,1.528250820000000000e+09,7.619989999999999782e+03,7.620000000000000000e+03,7.620000000000000000e+03,7.620000000000000000e+03,2.614870869999998515e+00
1.528235105000000000e+09,1.000002829462637077e+00,-5.841115862129999670e-01,1.528254960000000000e+09,7.610010000000000218e+03,7.613170000000000073e+03,7.613170000000000073e+03,7.613170000000000073e+03,1.647899999999999920e+00
1.528237850000000000e+09,1.012722415547453014e+00,-4.946104809639999961e-02,1.528257660000000000e+09,7.605000000000000000e+03,7.606170000000000073e+03,7.606170000000000073e+03,7.605000000000000000e+03,7.746422000000000585e-01
1.528238994000000000e+09,1.000002829462637077e+00,-2.294751703740000037e-01,1.528258800000000000e+09,7.611250000000000000e+03,7.611840000000000146e+03,7.611829999999999927e+03,7.611250000000000000e+03,3.704906340000000409e+00
